run,scorer,hidden_dim,num_layers,n_params,step,total_steps,perturbed_gap,served_all_rate,n_serving,n_val_instances,is_new_best
e070,gnn,64,2,26049,1000,10000,-0.059556,1.000000,197,200,1
e070,gnn,64,2,26049,2000,10000,-0.008376,1.000000,197,200,1
e070,gnn,64,2,26049,3000,10000,0.004043,1.000000,197,200,1
e070,gnn,64,2,26049,4000,10000,0.003583,1.000000,197,200,0
e070,gnn,64,2,26049,5000,10000,0.033686,1.000000,197,200,1
e070,gnn,64,2,26049,6000,10000,0.061972,1.000000,197,200,1
e070,gnn,64,2,26049,7000,10000,0.070650,1.000000,197,200,1
e070,gnn,64,2,26049,8000,10000,0.094563,1.000000,197,200,1
e070,gnn,64,2,26049,9000,10000,0.072880,1.000000,197,200,0
e070,gnn,64,2,26049,10000,10000,0.084619,1.000000,197,200,0
