run,scorer,hidden_dim,num_layers,n_params,step,total_steps,perturbed_gap,served_all_rate,n_serving,n_val_instances,is_new_best
e050,gnn,64,2,26049,1000,10000,-0.035910,1.000000,197,200,1
e050,gnn,64,2,26049,2000,10000,-0.039621,1.000000,197,200,0
e050,gnn,64,2,26049,3000,10000,-0.043619,1.000000,197,200,0
e050,gnn,64,2,26049,4000,10000,-0.030111,1.000000,197,200,1
e050,gnn,64,2,26049,5000,10000,0.044330,1.000000,197,200,1
e050,gnn,64,2,26049,6000,10000,0.054552,1.000000,197,200,1
e050,gnn,64,2,26049,7000,10000,0.047132,1.000000,197,200,0
e050,gnn,64,2,26049,8000,10000,0.077719,1.000000,197,200,1
e050,gnn,64,2,26049,9000,10000,0.080325,1.000000,197,200,1
e050,gnn,64,2,26049,10000,10000,0.097686,1.000000,197,200,1
