vector,label,supplementary,w1_travel,w2_makespan,w3_balance,n_instances,mean_policy_cost,mean_baseline_cost,cost_ratio,ratio_ci95_low,ratio_ci95_high,mean_paired_difference,paired_difference_ci95_low,paired_difference_ci95_high,n_instances_policy_cheaper,interval_excludes_one,n_boot,bootstrap_seed
W1,production,0,0.0637,0.2398,0.6965,200,128.19459525092827,159.8796773871267,0.8018192014518685,0.7884045769750052,0.8156485420053956,-31.685082136198407,-34.08393727588744,-29.226113218377485,195,1,10000,20260731
W2,"equal thirds, normalised",0,0.00038340618050762977,0.0014788524105294291,0.004301075268817204,200,0.7827343348333626,0.9784356709237305,0.7999854850900843,0.7864943673036503,0.8139078305092112,-0.19570133609036788,-0.21048669675054454,-0.1805698972657183,195,1,10000,20260731
W2r,"equal thirds, raw",1,0.3333333333333333,0.3333333333333333,0.3333333333333333,200,366.09583888782043,381.563696904522,0.9594619243335091,0.9523044350926607,0.9668572964848461,-15.467858016701616,-18.211526254781468,-12.609376803154438,164,1,10000,20260731
W3,travel-heavy,0,0.6,0.2,0.2,200,560.1578411853949,567.2132066918989,0.9875613518457155,0.9808126604865027,0.9944749343439774,-7.0553655065039536,-10.879728580497828,-3.1346645570551064,129,1,10000,20260731
W4,makespan-heavy,0,0.2,0.6,0.2,200,305.5704664351199,318.4907781690415,0.9594326975236186,0.9521800528955572,0.966874172424178,-12.920311733921602,-15.212689295697553,-10.538937136281469,163,1,10000,20260731
W5,as written,0,0.2,0.6,0.2,200,305.5704664351199,318.4907781690415,0.9594326975236186,0.9521800528955572,0.966874172424178,-12.920311733921602,-15.212689295697553,-10.538937136281469,163,1,10000,20260731
W5b,balance-light,1,0.475,0.475,0.05,200,507.97850809799905,511.8013248971618,0.9925306625575249,0.9860493893452674,0.9992011413030317,-3.8228167991628283,-7.156423563288451,-0.40617609431339624,116,1,10000,20260731
W7,balance-zero,1,0.5,0.5,0.0,200,533.016626193913,534.7844357193925,0.9966943512050768,0.9902145256583248,1.0033471550314204,-1.767809525479516,-5.250472895228183,1.7925219918882815,110,0,10000,20260731
W6,"reciprocal rule, test split",0,0.06236405280502964,0.23557337994916025,0.7020625672458101,200,126.32898195563426,158.22149436376657,0.7984312274613693,0.7848871989406361,0.8124130783443968,-31.892512408132344,-34.29803792655969,-29.428832580277362,195,1,10000,20260731
