arm,log,step,total_steps,hard_gap_vs_milp,served_all_rate,n_val
archL2H128_warmstart,m2_archL2H128_warmstart.log,50,1000,0.3135,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,75,1000,0.3210,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,100,1000,0.3745,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,125,1000,0.3522,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,150,1000,0.3891,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,175,1000,0.3695,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,200,1000,0.4022,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,225,1000,0.3961,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,250,1000,0.4087,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,275,1000,0.3997,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,300,1000,0.4149,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,325,1000,0.4181,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,350,1000,0.4293,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,375,1000,0.4363,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,400,1000,0.4056,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,425,1000,0.4147,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,450,1000,0.4077,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,475,1000,0.4103,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,500,1000,0.4114,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,525,1000,0.4104,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,550,1000,0.4201,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,575,1000,0.4114,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,600,1000,0.4129,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,625,1000,0.4185,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,650,1000,0.4055,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,675,1000,0.4024,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,700,1000,0.4109,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,725,1000,0.3894,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,750,1000,0.4079,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,775,1000,0.4049,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,800,1000,0.3915,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,825,1000,0.3759,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,850,1000,0.3665,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,875,1000,0.3768,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,900,1000,0.3805,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,925,1000,0.3844,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,950,1000,0.3694,1.000,200
archL2H128_warmstart,m2_archL2H128_warmstart.log,975,1000,0.3640,1.000,200
