run,scorer,hidden_dim,num_layers,n_params,step,total_steps,perturbed_gap,served_all_rate,n_serving,n_val_instances,is_new_best
e020,gnn,64,2,26049,1000,10000,-0.048344,1.000000,197,200,1
e020,gnn,64,2,26049,2000,10000,-0.015252,1.000000,197,200,1
e020,gnn,64,2,26049,3000,10000,-0.007739,1.000000,197,200,1
e020,gnn,64,2,26049,4000,10000,-0.053697,1.000000,197,200,0
e020,gnn,64,2,26049,5000,10000,-0.030695,1.000000,197,200,0
e020,gnn,64,2,26049,6000,10000,0.015171,1.000000,197,200,1
e020,gnn,64,2,26049,7000,10000,0.009925,1.000000,197,200,0
e020,gnn,64,2,26049,8000,10000,0.006934,1.000000,197,200,0
e020,gnn,64,2,26049,9000,10000,-0.011919,1.000000,197,200,0
e020,gnn,64,2,26049,10000,10000,-0.011403,1.000000,197,200,0
