seed,R,T,policy_cost,hungarian_distance_only_cost,hungarian_kappa_cost,milp_objective,serve_all_flag,n_unserved_tasks,term_travel_time,term_makespan,term_balance,n_decisions,n_commitments,cost_is_from_failed_rollout,greedy_served_all,greedy_n_unserved,kappa_served_all,kappa_n_unserved,greedy_term_travel_time,greedy_term_makespan,greedy_term_balance,kappa_term_travel_time,kappa_term_makespan,kappa_term_balance,expert_replay_cost,epoch_count,simulator_failure
96100,30,90,299.7042031913435,333.4227960312909,336.94419029410113,,1,0,3481.524580782587,192.43553424455462,45.63538590617159,39,90,0,1,0,1,0,3381.1075755709835,196.71568550735938,101.7571027749525,3446.6567177893176,200.30453622159206,99.58238274943835,,39,0
96101,30,90,384.41186691612387,408.6454754437221,411.9791737475463,,1,0,4607.766157215264,233.76134426191183,50.02324816583652,47,90,0,1,0,1,0,4632.218262277443,233.95638516077528,82.51318158664043,4632.963658926754,232.3543378306461,87.78294107986096,,47,0
96102,30,90,296.31606085682785,324.5772548284747,319.4630471443471,,1,0,3536.0596985854845,189.80430541827357,36.689139436655324,38,90,0,1,0,1,0,3491.7295038856973,184.64578002203461,83.09551670017494,3480.7786288383245,186.48723627223941,76.12032911595523,,38,0
96103,30,90,453.62210549875374,494.29688822067124,495.4060736811302,,1,0,5522.527216426608,268.8099803005513,53.66330012391467,54,90,0,1,0,1,0,5495.324966003756,278.1526217273633,111.33336567984236,5492.061794032248,278.1526217273633,113.22431975743606,,54,0
96104,30,90,278.9955874936526,315.3053197465496,311.16024765634677,,1,0,3333.8221501970997,185.9387151726298,31.648259336253687,38,90,0,1,0,1,0,3288.582325266457,188.5828488943075,87.00711911302426,3278.0430089201764,194.1447984576773,80.10478868338905,,38,0
96105,30,90,415.237505404861,471.2198575223337,477.18871743649754,,1,0,5126.19629177052,245.9691538967388,42.6638887503818,50,90,0,1,0,1,0,5120.970856387579,263.15555433835067,117.60130946174931,5107.777541627218,265.43306827281884,126.59359406033266,,50,0
96106,30,90,416.95751674548393,463.9377585649506,459.07338013244134,,1,0,5247.144658349597,249.0855978564697,32.99881642876261,50,90,0,1,0,1,0,5229.865628576966,256.6386155707328,99.43054990773317,5234.905073680132,254.66765645047755,92.66421094356417,,50,0
96107,30,90,352.8288171696951,373.9000592812963,383.869950777452,,1,0,4230.230121128358,220.11563878569967,43.90441963102347,45,90,0,1,0,1,0,4150.863332126028,227.1257252405424,79.00260748339737,4148.0490273485375,226.1698294822366,93.90337778249784,,45,0
96108,30,90,426.6895856227,470.90646925814735,468.6257362197445,,1,0,5325.257147614013,248.38558925636545,40.06868774732362,50,90,0,1,0,1,0,5292.25349006343,271.36853629943187,98.658645996415,5329.384178394289,273.93694391758856,91.10392663975671,,50,0
96109,30,90,254.17802803492492,303.8263004692133,304.1342892378626,,1,0,3102.232408722362,170.93693513669825,22.362019459483435,35,90,0,1,0,1,0,3116.2073605511137,182.77953931900976,88.28909989003422,3145.2921909568418,191.33458769710663,83.12583279848616,,35,0
96110,30,90,313.7270138440442,391.16318895209497,373.8323257036679,,1,0,3931.034760189754,198.9081812845452,22.429171210226798,40,90,0,1,0,1,0,4088.406864783448,228.94054693306154,108.87541781886733,4094.885390625975,227.64491414542775,83.84619656671883,,40,0
96111,30,90,373.6850295162455,407.7248050581816,407.01979455705623,,1,0,4499.656632439813,220.15579296603087,49.193887834278854,45,90,0,1,0,1,0,4318.795083188542,238.7515520853562,108.20522048672356,4307.727414411064,238.7515520853562,108.20522048672356,,45,0
96112,30,90,413.0897244240155,436.1903786019434,440.59474721839865,,1,0,4914.27140661073,247.9165527657703,58.291811155319834,50,90,0,1,0,1,0,4564.014489740013,249.46608310695163,122.95863442420313,4609.876954956262,251.42598332911797,124.41297112040519,,50,0
96113,30,90,359.98914274776746,397.86561750955053,391.79014184781704,,1,0,4317.409548903776,217.82350731471843,47.00082904311179,44,90,0,1,0,1,0,4347.586432496395,231.62481015257893,93.87039811190483,4337.060208872838,234.13734965933344,85.24518319355218,,44,0
96114,30,90,273.2887318787505,309.51110792616976,309.93510938510923,,1,0,3234.9508104600195,184.4418825058036,33.012493650474596,37,90,0,1,0,1,0,3126.0233950838633,182.97491193247714,95.48604993240438,3144.053296260783,194.68898888087585,90.41277082507291,,37,0
96115,30,90,262.0086418310132,304.7336611335661,296.34302272285174,,1,0,3111.408955930881,182.08072325932707,28.928835463933183,37,90,0,1,0,1,0,3175.4952503926597,193.49201287983743,80.4813050896893,3210.802692835466,198.49201287983743,63.48385714378679,,37,0
96116,30,90,402.9583388271517,419.0619171562925,396.2414151191969,,1,0,4669.366402134135,245.84628671441422,66.85679749761775,50,90,0,1,0,1,0,4276.6863032853325,249.68889041511292,124.56798810548852,4311.692113554109,241.00080954052675,91.5931562928669,,50,0
96117,30,90,360.24727965696866,386.311650942722,367.9488985550837,,1,0,4308.323512209016,221.7925833613079,46.835908742588146,45,90,0,1,0,1,0,4043.407022671449,239.88106694624312,102.25864141398648,4025.0998143188435,217.3691938903143,85.3193218780703,,45,0
96118,30,90,372.9844168536579,443.1055950049089,438.3186112372157,,1,0,4501.633066624392,227.8943164684569,45.342905126415076,46,90,0,1,0,1,0,4334.878145006205,271.75346479907597,146.16995880717178,4339.444150179945,282.152041161482,135.29929562129195,,46,0
96119,30,90,302.11249312501053,353.4090491889676,345.48703984376755,,1,0,3788.444465108107,196.54463694490417,19.608293981674166,40,90,0,1,0,1,0,3773.3419970759082,202.68065056998347,92.52597841859323,3772.104197171797,205.40004310772446,80.3288903757239,,40,0
96120,30,90,313.95015225713036,314.2785894238099,314.97492309992737,,1,0,3589.8733087787787,202.92931066030613,52.566796542111575,41,90,0,1,0,1,0,3534.4242001353214,195.67300425821608,60.60786999866427,3539.866551935492,195.14239830599934,61.292572330018416,,41,0
96121,30,90,304.8749540511548,329.0997250284194,296.63208817224864,,1,0,3520.2491783568366,200.73683002665624,46.65956862804326,41,90,0,1,0,1,0,3348.4552734962317,222.1099376995651,89.7934831964877,3314.1723185320407,188.33375173496688,57.94239456670864,,41,0
96122,30,90,335.49793985320446,368.1706164689649,363.5397070311094,,1,0,4012.3914526810277,210.53147844297638,42.24430120143175,43,90,0,1,0,1,0,3892.0271976075046,222.5774686940715,96.01494183564742,3895.8147495232693,224.16725049165248,88.47236298432001,,43,0
96123,30,90,360.5139269532888,426.10881276451283,418.5593534549569,,1,0,4212.566145210626,220.2205560752434,56.51769440994758,45,90,0,1,0,1,0,4246.073114962239,260.834655359673,133.64796121488678,4186.977543126503,263.50089778377367,127.29557597882231,,45,0
96124,30,90,388.01885925626965,429.90051181242274,430.57140421920104,,1,0,4753.006715468377,232.9958935206411,42.18221997801044,47,90,0,1,0,1,0,4629.923336972351,261.6037742755948,103.72119192533569,4644.985293858748,261.73508266174207,103.26169156943718,,47,0
96125,30,90,373.01257515179714,404.2911263436512,404.13462011552986,,1,0,4520.089669257724,222.59045361789165,45.521424899511345,45,90,0,1,0,1,0,4508.344356127284,236.28883023780077,86.78755113757146,4509.040028309895,237.35629820454074,86.1317013678975,,45,0
96126,30,90,478.89932373726003,509.84750922001683,499.98830286068795,,1,0,5855.5760629694105,278.4912553784169,56.162132787313936,56,90,0,1,0,1,0,5739.177111309481,279.11671626841473,111.02618617148175,5780.617568224677,285.42547749639414,90.90873547902467,,56,0
96127,30,90,355.7656070645337,411.56405297012765,412.94233316385163,,1,0,4191.259540193113,216.34094046509344,52.98466163776445,44,90,0,1,0,1,0,4255.07969490331,275.1972216510472,106.99667286843592,4231.96788198335,277.3218404546564,110.35779144362613,,44,0
96128,30,90,300.0009376879429,324.27502360093933,331.1619740460874,,1,0,3577.9093519674743,195.45593466151504,36.20643048927988,40,90,0,1,0,1,0,3616.905168217081,189.41258644569618,69.57218399976071,3614.3259283897887,190.14940541327715,79.44233307904375,,40,0
96129,30,90,463.5198174246133,458.70642750479215,451.6288842826276,,1,0,5810.069180337694,264.70870846970774,42.98817278688614,53,90,0,1,0,1,0,5226.240475933224,261.27008128516434,90.6566312931275,5205.932471958044,262.4976582734285,81.92971624541576,,53,0
96130,30,90,256.6084016864438,286.1119826159762,287.5771918873806,,1,0,3109.9506464545066,182.3705883377459,21.20901424824163,37,90,0,1,0,1,0,3166.9923363399216,170.79964039590607,62.335702834436304,3202.5254871166835,170.47228298204257,61.30231859146306,,37,0
