scale,budget_seconds,seed,k,window_size,build_s,gurobi_runtime_s,solve_wall_s,status,sol_count
"R=10,T=30",0.05,96000,0,2,0.036308250040747225,0.0448610782623291,0.04629029199713841,optimal,1
"R=10,T=30",0.05,96000,1,2,0.0027151249814778566,0.043524980545043945,0.043576042051427066,optimal,1
"R=10,T=30",0.05,96000,2,2,0.00277945795096457,0.053334951400756836,0.05338633299106732,time_limit,1
"R=10,T=30",0.05,96000,3,1,0.0016644169809296727,0.0013129711151123047,0.0013375830021686852,optimal,2
"R=10,T=30",0.05,96000,4,6,0.008318167005199939,0.05029296875,0.05037595797330141,time_limit,1
"R=10,T=30",0.05,96000,5,6,0.008763834019191563,0.05191302299499512,0.05202112504048273,time_limit,1
"R=10,T=30",0.05,96000,6,8,0.013318667013663799,0.05035901069641113,0.050476583011914045,time_limit,3
"R=10,T=30",0.05,96000,7,10,0.020683375012595206,0.0507349967956543,0.05093237501569092,time_limit,1
"R=10,T=30",0.05,96000,8,11,0.022649208025541157,0.05020904541015625,0.05038787500234321,time_limit,1
"R=10,T=30",0.05,96000,9,14,0.03475991700543091,0.05013918876647949,0.05039849999593571,time_limit,1
"R=10,T=30",0.05,96000,10,14,0.04612787504447624,0.050171852111816406,0.050458625017199665,time_limit,1
"R=10,T=30",0.05,96000,11,15,0.039491374976933,0.050137996673583984,0.0504145419690758,time_limit,1
"R=10,T=30",0.05,96000,12,14,0.03567612497135997,0.05029487609863281,0.050587084027938545,time_limit,1
"R=10,T=30",0.05,96000,13,14,0.03579116699984297,0.05017685890197754,0.05044779198942706,time_limit,1
"R=10,T=30",0.05,96000,14,12,0.02617833303520456,0.05016207695007324,0.05038800003239885,time_limit,1
"R=10,T=30",0.05,96000,15,13,0.029949332994874567,0.05019187927246094,0.05044374999124557,time_limit,1
"R=10,T=30",0.05,96000,16,13,0.03921725001418963,0.050309181213378906,0.05056270898785442,time_limit,1
"R=10,T=30",0.05,96000,17,10,0.019686957995872945,0.050560951232910156,0.050737125042360276,time_limit,1
"R=10,T=30",0.05,96000,18,7,0.01071875001071021,0.050436973571777344,0.050539417017716914,time_limit,1
"R=10,T=30",0.05,96000,19,7,0.010540125018451363,0.05036497116088867,0.05047220800770447,time_limit,1
"R=10,T=30",0.05,96000,20,6,0.0087557079968974,0.0507810115814209,0.05090666702017188,time_limit,1
"R=10,T=30",0.05,96000,21,6,0.008262541959993541,0.05236005783081055,0.05246979097137228,time_limit,1
"R=10,T=30",0.05,96000,22,6,0.008363917004317045,0.05062603950500488,0.05071154102915898,time_limit,1
"R=10,T=30",0.05,96000,23,5,0.006644209031946957,0.05030393600463867,0.05037716601509601,time_limit,1
"R=10,T=30",0.05,96000,24,4,0.004999249998945743,0.05020880699157715,0.050280499970540404,time_limit,2
"R=10,T=30",0.05,96000,25,4,0.004961209022440016,0.0504460334777832,0.05050254100933671,time_limit,4
"R=10,T=30",0.05,96000,26,3,0.003517833014484495,0.02340102195739746,0.0234522910322994,optimal,5
"R=10,T=30",0.05,96000,27,2,0.0031099169864319265,0.007380008697509766,0.007417333021294326,optimal,2
"R=10,T=30",0.05,96000,28,2,0.0022980409557931125,0.004522085189819336,0.004554624960292131,optimal,2
"R=10,T=30",0.05,96000,29,2,0.0022002080222591758,0.004752159118652344,0.004784249991644174,optimal,2
"R=10,T=30",0.05,96001,0,1,0.0015551249962300062,0.0009200572967529297,0.0009460839792154729,optimal,1
"R=10,T=30",0.05,96001,1,3,0.0032329169916920364,0.015805959701538086,0.015855667006690055,optimal,3
"R=10,T=30",0.05,96001,2,1,0.0017868339782580733,0.0009059906005859375,0.0009308750159107149,optimal,1
"R=10,T=30",0.05,96001,3,3,0.0034447910147719085,0.016191959381103516,0.016262833960354328,optimal,2
"R=10,T=30",0.05,96001,4,2,0.0024498330312781036,0.0029468536376953125,0.0029812080319970846,optimal,1
"R=10,T=30",0.05,96001,5,2,0.0022464579669758677,0.006565093994140625,0.006599084008485079,optimal,2
