seed,decision_index,n_pending,n_available,n_committed,t_features_s,t_graph_build_s,t_gnn_forward_s,t_hungarian_s,t_stages_sum_s,t_total_s,t_discrepancy_s
96100,0,1,30,0,0.001576333015691489,3.716698847711086e-05,0.001169124967418611,6.283301627263427e-05,0.002845457987859845,0.002952458045911044,-0.00010700005805119872
96100,1,5,30,0,0.0016836249851621687,3.779103280976415e-05,0.0012489999644458294,6.604200461879373e-05,0.003036457987036556,0.0029220000142231584,0.00011445797281339765
96100,2,10,30,0,0.0018497920245863497,3.8207974284887314e-05,0.0011333340080454946,6.42079976387322e-05,0.003085542004555464,0.003211541974451393,-0.0001259999698959291
96100,3,14,30,0,0.0019965420360676944,7.754098623991013e-05,0.0017412499873898923,8.820899529382586e-05,0.0039035420049913228,0.004161750024650246,-0.00025820801965892315
96100,4,18,30,0,0.0019377910066395998,3.79589619114995e-05,0.0015052500530146062,6.820796988904476e-05,0.0035492079914547503,0.0036921249702572823,-0.00014291697880253196
96100,5,26,30,0,0.0021422089776024222,3.92910442315042e-05,0.0011537919635884464,6.679201032966375e-05,0.0034020839957520366,0.004469583975151181,-0.0010674999793991446
96100,6,33,30,4,0.0024088750360533595,3.770896000787616e-05,0.0018067500204779208,7.812498370185494e-05,0.004331459000241011,0.0036437090020626783,0.000687749998178333
96100,7,32,26,26,0.002181040996219963,4.2249972466379404e-05,0.0012436670367605984,0.0001289169886149466,0.0035958749940618873,0.004502125026192516,-0.0009062500321306288
96100,8,12,0,0,0.0018597079906612635,4.6250002924352884e-05,0.0015958749572746456,7.17920484021306e-05,0.0035736249992623925,0.0030312080052681267,0.0005424169939942658
96100,9,21,0,0,0.002088415960315615,4.379200981929898e-05,0.0014392500161193311,7.887498941272497e-05,0.00365033297566697,0.0043366660247556865,-0.0006863330490887165
96100,10,26,0,0,0.002030625008046627,3.966700751334429e-05,0.0014058329979889095,6.654200842604041e-05,0.0035426670219749212,0.003906333993654698,-0.0003636669716797769
96100,11,28,1,1,0.002450375002808869,4.69580409117043e-05,0.0011874169576913118,7.07080471329391e-05,0.003755458048544824,0.004434582951944321,-0.0006791249033994973
96100,12,34,1,1,0.002233667008113116,4.7625042498111725e-05,0.0013872080016881227,7.1291986387223e-05,0.0037397920386865735,0.004228584002703428,-0.0004887919640168548
96100,13,43,3,3,0.002499333000741899,7.458397885784507e-05,0.001961791014764458,8.620898006483912e-05,0.004621916974429041,0.004320582957006991,0.00030133401742205024
96100,14,45,6,6,0.0024881670251488686,4.074996104463935e-05,0.001390332996379584,7.524999091401696e-05,0.003994499973487109,0.004343333013821393,-0.0003488330403342843
96100,15,44,9,9,0.002524833020288497,6.137497257441282e-05,0.00146416702773422,8.874997729435563e-05,0.004139124997891486,0.0039761249790899456,0.00016300001880154014
96100,16,36,3,3,0.0023073750198818743,3.879197174683213e-05,0.0015526250354014337,6.983301136642694e-05,0.003968625038396567,0.00397054199129343,-1.916952896863222e-06
96100,17,35,3,3,0.0023795420420356095,5.345797399058938e-05,0.0013514169841073453,7.141701644286513e-05,0.0038558340165764093,0.003933666041120887,-7.783202454447746e-05
96100,18,34,3,3,0.0022231669863685966,3.991700941696763e-05,0.0011762079666368663,7.987499702721834e-05,0.003519166959449649,0.0039374170009978116,-0.0004182500415481627
96100,19,31,1,1,0.0022071669809520245,4.0583021473139524e-05,0.0013430420076474547,6.758299423381686e-05,0.0036583750043064356,0.0034439999726600945,0.00021437503164634109
96100,20,30,0,0,0.0021770409657619894,3.84590239264071e-05,0.0017748749814927578,6.71250163577497e-05,0.004057499987538904,0.0034852499957196414,0.0005722499918192625
96100,21,30,0,0,0.0022742499713785946,4.312500823289156e-05,0.0013947910047136247,7.091701263561845e-05,0.0037830829969607294,0.003785042033996433,-1.959037035703659e-06
96100,22,30,0,0,0.0021755420020781457,3.700004890561104e-05,0.0017118749674409628,6.633298471570015e-05,0.00399075000314042,0.003944083000533283,4.6667002607136965e-05
96100,23,30,0,0,0.002235791995190084,4.212500061839819e-05,0.0013790830271318555,6.499997107312083e-05,0.0037219999940134585,0.0038460000068880618,-0.00012400001287460327
96100,24,30,2,2,0.0022296670358628035,4.374998388811946e-05,0.0010590829770080745,6.479199510067701e-05,0.0033972919918596745,0.0034973330330103636,-0.00010004104115068913
96100,25,28,5,5,0.0022101670037955046,5.866598803550005e-05,0.0012976250145584345,7.89589830674231e-05,0.003645416989456862,0.0034737499663606286,0.0001716670230962336
96100,26,23,5,5,0.0019744160235859454,3.7209014408290386e-05,0.0011774159502238035,6.783404387533665e-05,0.003256875032093376,0.003705875016748905,-0.00044899998465552926
96100,27,18,3,3,0.001955249987076968,4.3665990233421326e-05,0.0011406249832361937,6.925000343471766e-05,0.0032087909639813006,0.0031498329481109977,5.8958015870302916e-05
