seed,decision_index,n_pending,n_available,n_committed,t_features_s,t_graph_build_s,t_gnn_forward_s,t_hungarian_s,t_stages_sum_s,t_total_s,t_discrepancy_s
96000,0,0,10,0,0.0005058329552412033,3.145803930237889e-05,0.0012178340111859143,2.0874955225735903e-05,0.0017759999609552324,0.0015743339899927378,0.0002016659709624946
96000,1,0,10,0,0.0005132080405019224,3.14170029014349e-05,0.0011456249631009996,1.991604221984744e-05,0.0017101660487242043,0.0019384160405024886,-0.0002282499917782843
96000,2,2,10,0,0.000544416019693017,2.962502185255289e-05,0.0009263749816454947,2.5708985049277544e-05,0.0015261250082403421,0.0016523749800398946,-0.00012624997179955244
96000,3,2,10,0,0.0005740420310758054,3.120797919109464e-05,0.0018339590169489384,2.400000812485814e-05,0.0024632090353406966,0.001667583012022078,0.0007956260233186185
96000,4,4,10,0,0.0006155829760245979,3.1125033274292946e-05,0.0010600839741528034,2.4083012249320745e-05,0.001730874995701015,0.0015954159898683429,0.00013545900583267212
96000,5,6,10,0,0.0006636660546064377,3.1791976653039455e-05,0.0008893749909475446,2.3083004634827375e-05,0.001607916026841849,0.0015087909996509552,9.912502719089389e-05
96000,6,6,10,1,0.0006286250427365303,2.9624963644891977e-05,0.0007788329967297614,2.216699067503214e-05,0.0014592499937862158,0.0015428750193677843,-8.362502558156848e-05
96000,7,6,9,6,0.0006302919937297702,2.90420139208436e-05,0.0007990409503690898,2.3917004000395536e-05,0.0014822919620200992,0.00147779198596254,4.499976057559252e-06
96000,8,5,3,3,0.0006086669745855033,3.0082999728620052e-05,0.0011516250087879598,2.2666994482278824e-05,0.001813041977584362,0.0016227909945882857,0.00019025098299607635
96000,9,6,0,0,0.0006227499688975513,2.8708018362522125e-05,0.000748499995097518,2.204196061939001e-05,0.0014219999429769814,0.001597624970600009,-0.00017562502762302756
96000,10,8,0,0,0.0006816249806433916,3.045797348022461e-05,0.0008416250348091125,2.204196061939001e-05,0.0015757499495521188,0.0016099580097943544,-3.420806024223566e-05
96000,11,11,0,0,0.0007305420003831387,3.004202153533697e-05,0.0011475830106064677,2.0749983377754688e-05,0.001928917015902698,0.0017553329817019403,0.00017358403420075774
96000,12,12,0,0,0.0007996250060386956,3.225001273676753e-05,0.0008997920085676014,2.3250002413988113e-05,0.0017549170297570527,0.0018273749738000333,-7.245794404298067e-05
96000,13,15,0,0,0.0008663749904371798,3.1292031053453684e-05,0.0008485409780405462,1.983396941795945e-05,0.0017660419689491391,0.001826833002269268,-6.079103332012892e-05
96000,14,15,1,1,0.000848083000164479,3.0791969038546085e-05,0.0008226670324802399,2.0415987819433212e-05,0.0017219579895026982,0.0018484580214135349,-0.0001265000319108367
96000,15,16,1,1,0.000886083988007158,3.0790979508310556e-05,0.0006891670054756105,2.037500962615013e-05,0.0016264169826172292,0.0017496250220574439,-0.00012320803944021463
96000,16,17,0,0,0.000896583020221442,3.024999750778079e-05,0.0009215419995598495,1.9916973542422056e-05,0.0018682919908314943,0.001793542003724724,7.474998710677028e-05
96000,17,17,1,1,0.0008948330068960786,2.9875023756176233e-05,0.0008374169701710343,2.0749983377754688e-05,0.0017828749842010438,0.0017735410365276039,9.33394767343998e-06
96000,18,16,0,0,0.0008626249618828297,2.9875023756176233e-05,0.0008482499979436398,1.9667029846459627e-05,0.0017604170134291053,0.0016266670427285135,0.0001337499707005918
96000,19,17,4,4,0.000873417011462152,3.0499999411404133e-05,0.000894040975254029,2.1666986867785454e-05,0.0018196249729953706,0.001943708979524672,-0.0001240840065293014
96000,20,13,1,1,0.00078504194971174,3.0082999728620052e-05,0.0008391670417040586,2.112501533702016e-05,0.0016754170064814389,0.0016844169585965574,-8.999952115118504e-06
96000,21,12,1,1,0.0007672500214539468,2.9082992114126682e-05,0.0007875420269556344,1.9708008039742708e-05,0.0016035830485634506,0.0016476670280098915,-4.4083979446440935e-05
96000,22,11,1,1,0.000738083035685122,2.924998989328742e-05,0.0008170420187525451,2.5957997422665358e-05,0.00161033304175362,0.0016159170190803707,-5.583977326750755e-06
96000,23,10,0,0,0.000730833038687706,3.2416952308267355e-05,0.0009093750268220901,2.220796886831522e-05,0.0016948329866863787,0.002175167028326541,-0.00048033404164016247
96000,24,10,0,0,0.0007205000147223473,3.0124967452138662e-05,0.0008150830399245024,2.0499981474131346e-05,0.0015862080035731196,0.001644417003262788,-5.820899968966842e-05
