seed,R,T,policy_cost,hungarian_distance_only_cost,hungarian_kappa_cost,milp_objective,serve_all_flag,n_unserved_tasks,term_travel_time,term_makespan,term_balance,n_decisions,n_commitments,cost_is_from_failed_rollout,greedy_served_all,greedy_n_unserved,kappa_served_all,kappa_n_unserved,greedy_term_travel_time,greedy_term_makespan,greedy_term_balance,kappa_term_travel_time,kappa_term_makespan,kappa_term_balance,expert_replay_cost,epoch_count,simulator_failure
90000,10,60,288.3251661308843,332.79981119189307,328.328409669287,,1,0,2838.741686820003,367.40379800153477,27.844780932781134,74,60,0,1,0,1,0,2733.7390868036764,382.11544481307266,96.23739798467193,2726.3877842332777,384.2724747882458,89.74726254042474,285.52056709415496,74,0
90001,10,60,325.2383899913209,351.31645582832243,359.96347567352905,,1,0,3057.3330917321373,407.2384805951805,47.136373871155,82,60,0,1,0,1,0,3092.4837846437645,406.96056046359723,81.45886051305672,3089.7021054083234,419.73890154038173,89.72873362474553,315.0704163359322,82,0
90002,10,60,323.7639672630603,329.33103045865784,327.41016111637094,,1,0,3060.684922363741,411.3751911234228,43.28868180487177,83,60,0,1,0,1,0,2895.4274798248607,387.39706274376664,74.65109023382473,2913.6555461337985,389.6945501499312,69.43510366359578,293.2045785307679,83,0
90003,10,60,262.6967849508807,279.3931656825031,283.206906957965,,1,0,2443.969763126769,334.9919874504456,38.312752977873174,67,60,0,1,0,1,0,2294.6848142032113,323.28719340738434,79.9676583469745,2277.582855400382,322.68267468488233,87.2154683123128,236.07761983948473,67,0
90004,10,60,216.6084844395817,251.2820088208236,262.9388006468984,,1,0,2061.6668226513866,289.3141902873356,22.832397711105926,58,60,0,1,0,1,0,2028.070789516213,297.0685150615846,73.01775967964508,2041.2406195327544,302.0685150615846,86.82805925469336,203.58956068048658,58,0
90005,10,60,374.0193683039836,375.17520067430854,384.7283856429353,,1,0,3443.420336816208,451.7799942182402,66.52785389125216,91,60,0,1,0,1,0,3260.789744126478,424.9052598039991,94.14301891235152,3260.7732563869777,429.9052598039991,106.13904940428682,328.62952890481915,91,0
90006,10,60,276.13385372295534,357.7227254823209,362.6540726043366,,1,0,2722.1518827495715,354.400844854395,25.48091341812443,71,60,0,1,0,1,0,2813.615581152037,390.3045525532458,121.89573763197103,2811.5345437734027,392.5294694236406,128.40022311296744,271.0048321086782,71,0
90007,10,60,342.1056392225453,385.8136514575431,393.5473036453495,,1,0,3315.9006848800445,417.9663924038179,44.01209576058989,84,60,0,1,0,1,0,3332.7807937285365,435.13470568013264,99.31114497478745,3337.1533967398414,436.0179304160036,109.71074308580603,330.4551756932968,84,0
90008,10,60,306.9312236472778,330.6071835103112,339.4638875792558,,1,0,2988.1875566848557,385.8222603032411,34.54917195367591,78,60,0,1,0,1,0,2878.771167979469,380.31436694967044,80.44519011556076,2887.7438386522804,391.406545321072,88.52163027869705,290.23616027853757,78,0
90009,10,60,350.02163348877735,364.7479559167492,353.23928713560645,,1,0,3394.000338768459,430.80874994719943,43.81317110105965,87,60,0,1,0,1,0,3064.6136892564527,404.5305319660066,104.12870401387619,3096.9982314794393,404.5305319660066,84.6433283918418,328.02003238130425,87,0
90010,10,60,271.1114929038624,300.6835830196023,302.7653557721254,,1,0,2571.4194025856277,334.54149132929246,38.8930758627331,67,60,0,1,0,1,0,2481.0628159431017,341.8588123467272,87.09567615690094,2455.189130049056,339.06370845306174,93.41325326770465,262.4709028316827,67,0
90011,10,60,315.59347675747455,368.5293249615627,357.86686200062945,,1,0,3071.6467490932655,392.93717063437236,36.90343908415076,79,60,0,1,0,1,0,2997.9531411821704,410.80216373090497,113.49511989316204,2973.9635122484924,410.3662756839909,100.53058630492387,307.9100659908289,79,0
90012,10,60,266.80817055263685,273.58446545288183,264.3152659357949,,1,0,2432.8079661244983,328.63975143665,47.42353297343527,66,60,0,1,0,1,0,2329.9908255131077,322.6933115589652,68.60329326038337,2315.197859285367,314.7463644625895,59.384040346285786,263.06165498614234,66,0
