seed,decision_index,n_pending,n_available,n_committed,t_features_s,t_graph_build_s,t_gnn_forward_s,t_hungarian_s,t_stages_sum_s,t_total_s,t_discrepancy_s
11000,0,0,6,0,0.0003227079869247973,3.0082999728620052e-05,0.0013285420136526227,2.7332978788763285e-05,0.0017086659790948033,0.0009537090081721544,0.0007549569709226489
11000,1,0,6,0,0.0003329580067656934,3.304198617115617e-05,0.0007112080347724259,1.7291982658207417e-05,0.001094500010367483,0.0011630419758148491,-6.854196544736624e-05
11000,2,2,6,0,0.00045062502613291144,3.770797047764063e-05,0.0007125420379452407,1.9791012164205313e-05,0.0012206660467199981,0.001775040989741683,-0.0005543749430216849
11000,3,3,6,0,0.00040733302012085915,3.0333991162478924e-05,0.0006788329919800162,1.6041973140090704e-05,0.001132541976403445,0.001029333972837776,0.00010320800356566906
11000,4,3,6,0,0.000406416947953403,3.0499999411404133e-05,0.0005878330557607114,1.5457975678145885e-05,0.0010402079788036644,0.0011043749982491136,-6.416701944544911e-05
11000,5,3,6,0,0.0003862919984385371,2.887495793402195e-05,0.0005331250140443444,1.4291028492152691e-05,0.0009625829989090562,0.000999749987386167,-3.716698847711086e-05
11000,6,6,6,1,0.00045354198664426804,2.9125018045306206e-05,0.0005422499962151051,1.4792021829634905e-05,0.0010397090227343142,0.001032250002026558,7.459020707756281e-06
11000,7,5,5,5,0.0004551660385914147,3.3791991882026196e-05,0.0010161249665543437,2.537504769861698e-05,0.0015304580447264016,0.0014231250388547778,0.00010733300587162375
11000,8,2,0,0,0.0003619579947553575,3.2791984267532825e-05,0.0005488329916261137,1.5083991456776857e-05,0.0009586669621057808,0.0010480409837327898,-8.937402162700891e-05
11000,9,2,0,0,0.00038304197369143367,3.483297768980265e-05,0.0005773750017397106,1.633301144465804e-05,0.001011582964565605,0.001003999961540103,7.5830030255019665e-06
11000,10,4,0,0,0.00040366698522120714,2.8292008209973574e-05,0.0005176659906283021,1.4666991773992777e-05,0.0009642919758334756,0.0009936250280588865,-2.9333052225410938e-05
11000,11,6,0,0,0.00044533301843330264,2.862501423805952e-05,0.0005114999949000776,1.391698606312275e-05,0.0009993750136345625,0.0010238329996354878,-2.4457986000925303e-05
11000,12,7,1,1,0.000489374971948564,2.90420139208436e-05,0.0006751249893568456,1.9875005818903446e-05,0.0012134169810451567,0.0010577079956419766,0.00015570898540318012
11000,13,8,0,0,0.000538207998033613,3.1750008929520845e-05,0.0007000420009717345,1.6874982975423336e-05,0.0012868749909102917,0.0014415000332519412,-0.00015462504234164953
11000,14,8,0,0,0.000513250008225441,3.2999960239976645e-05,0.0006829170160926878,1.6290985513478518e-05,0.001245457970071584,0.0012500410084612668,-4.58303838968277e-06
11000,15,9,1,1,0.0005264579667709768,3.037502756342292e-05,0.0008626669878140092,1.7666025087237358e-05,0.0014371660072356462,0.0013444169890135527,9.274901822209358e-05
11000,16,9,0,0,0.0005513330106623471,3.420800203457475e-05,0.0007104169926606119,2.1167041268199682e-05,0.0013171250466257334,0.001212584029417485,0.00010454101720824838
11000,17,9,0,0,0.0005411659949459136,3.104202914983034e-05,0.0005388749996200204,1.6250007320195436e-05,0.0011273330310359597,0.001163666951470077,-3.633392043411732e-05
11000,18,10,2,2,0.0005921670235693455,3.6582991015166044e-05,0.0005636669811792672,2.5833025574684143e-05,0.0012182500213384628,0.0012204580125398934,-2.207991201430559e-06
11000,19,8,2,2,0.0005126249743625522,3.024999750778079e-05,0.0006673749885521829,1.89170241355896e-05,0.0012291669845581055,0.0012099999585188925,1.9167026039212942e-05
11000,20,6,0,0,0.0004627500311471522,3.2584008295089006e-05,0.0006062499596737325,1.7250014934688807e-05,0.0011188340140506625,0.0011141670402139425,4.66697383671999e-06
11000,21,6,0,0,0.0004671249771490693,3.0333001632243395e-05,0.0005712499842047691,1.5542027540504932e-05,0.0010842499905265868,0.001099916989915073,-1.5666999388486147e-05
11000,22,6,0,0,0.0004610830219462514,2.9708025977015495e-05,0.0005530839553102851,1.60830095410347e-05,0.0010599580127745867,0.001558957970701158,-0.0004989999579265714
11000,23,6,0,0,0.0004630829789675772,3.1875038985162973e-05,0.0012879169662483037,1.654098741710186e-05,0.0017994159716181457,0.0010519170318730175,0.0007474989397451282
11000,24,6,0,0,0.00046370801283046603,3.158301115036011e-05,0.0006867090123705566,1.5290977898985147e-05,0.0011972910142503679,0.0012140419567003846,-1.6750942450016737e-05
11000,25,6,0,0,0.00046633300371468067,2.987496554851532e-05,0.0005632920074276626,1.5542027540504932e-05,0.0010750420042313635,0.0012077909777872264,-0.0001327489735558629
11000,26,6,0,0,0.0004577080253511667,2.8959009796380997e-05,0.0007989159785211086,1.6250007320195436e-05,0.0013018330209888518,0.0013352090027183294,-3.3375981729477644e-05
11000,27,6,1,1,0.0011514159850776196,3.020901931449771e-05,0.0008890830213204026,1.699995482340455e-05,0.0020877079805359244,0.0019307080074213445,0.00015699997311457992
11000,28,5,1,1,0.00043462502071633935,2.9999995604157448e-05,0.0012420410057529807,7.812498370185494e-05,0.0017847910057753325,0.001446707989089191,0.0003380830166861415
11000,29,4,1,1,0.00041445798706263304,2.9250048100948334e-05,0.0005624999757856131,1.6291975043714046e-05,0.0010224999859929085,0.0016070420388132334,-0.0005845420528203249
11000,30,3,0,0,0.0003902500029653311,3.0207971576601267e-05,0.00135237502399832,0.00011124997399747372,0.0018840829725377262,0.0010111670126207173,0.0008729159599170089
11000,31,3,0,0,0.0003920830204151571,2.908398164436221e-05,0.0006301249959506094,1.591601176187396e-05,0.0010672080097720027,0.0014103749999776483,-0.00034316699020564556
11000,32,3,0,0,0.0003945000353269279,2.9916001949459314e-05,0.0005394999752752483,1.570902531966567e-05,0.0009796250378713012,0.0011539999977685511,-0.00017437495989724994
11000,33,3,1,1,0.0003929579979740083,2.9499991796910763e-05,0.0005686250515282154,1.554196933284402e-05,0.0010066250106319785,0.0010357500286772847,-2.9125018045306206e-05
11000,34,2,3,2,0.0003665830008685589,2.9083050321787596e-05,0.0005753339501097798,1.591601176187396e-05,0.0009869160130620003,0.0009600839694030583,2.6832043658941984e-05
11000,35,0,1,0,0.0003155830199830234,2.8916983865201473e-05,0.0006056250422261655,1.4874967746436596e-05,0.000965000013820827,0.0013784170150756836,-0.0004134170012548566
11000,36,0,1,0,0.00034916697768494487,4.287500632926822e-05,0.0010075410245917737,1.6708974726498127e-05,0.001416291983332485,0.0011550000053830445,0.0002612919779494405
11000,37,0,3,0,0.0003162079956382513,2.804200630635023e-05,0.0006080000312067568,1.616595545783639e-05,0.0009684159886091948,0.0013817079598084092,-0.00041329197119921446
11000,38,0,3,0,0.00032750004902482033,2.8499984182417393e-05,0.0006651669973507524,1.6457983292639256e-05,0.0010376250138506293,0.0009401250281371176,9.74999857135117e-05
11000,39,0,5,0,0.00032054103212431073,3.245897823944688e-05,0.0007361660245805979,1.4624965842813253e-05,0.0011037910007871687,0.0009761250112205744,0.00012766598956659436
