step,cost_history,grad_norm_history
1,164.01717528139497,58.0643196105957
2,164.795286317372,47.806724548339844
3,160.2271426140556,43.875083923339844
4,162.06321393927183,41.216590881347656
5,161.59644150460582,33.786895751953125
6,161.8802366478239,34.311058044433594
7,161.73530283351087,20.669816970825195
8,161.7122845381091,19.51519203186035
9,164.01486712781622,23.776168823242188
10,161.2628974659163,25.30099105834961
11,162.29852447541424,10.011802673339844
12,161.28158502736412,12.70973014831543
13,160.99346857980316,15.631423950195312
14,159.43906175903385,9.44387435913086
15,162.20962991505766,14.894920349121094
16,162.09137028654172,12.712870597839355
17,158.8206742204423,7.181079864501953
18,163.65237005732192,15.17052936553955
19,162.7300979049189,14.557690620422363
20,164.42287784891874,10.723238945007324
21,161.51744646186296,7.909255504608154
22,162.7330420899333,8.715134620666504
23,162.1060327515592,11.980688095092773
24,160.45892070892742,11.59319019317627
25,159.86764354810165,12.546405792236328
26,165.61156563188757,10.785881996154785
27,164.08878331795685,6.3102312088012695
28,159.8620245764224,8.328775405883789
29,162.7570402726335,7.979101181030273
30,159.16056251641726,7.980863094329834
31,159.99398698380355,9.212695121765137
32,160.29517454907074,8.421284675598145
33,158.63810101926055,9.767704963684082
34,157.22442232400874,10.464439392089844
35,161.1623370629883,8.998539924621582
36,161.16190260762795,6.833017349243164
37,159.56006726140376,8.28892707824707
38,157.34919841166646,8.5294771194458
39,160.185260028276,7.058624267578125
40,159.62824599599293,7.199194431304932
41,162.7028829022698,9.058813095092773
42,157.22359445806833,9.353093147277832
43,158.92176395185055,9.908102989196777
44,164.5621788909044,8.416239738464355
45,161.99051641247016,8.910497665405273
46,158.96316026493335,11.373536109924316
47,162.2455149535861,8.526808738708496
48,162.0617634372504,9.762645721435547
49,162.71222048228185,9.064772605895996
50,160.51880020838053,9.866890907287598
51,161.78675957665428,14.912895202636719
52,162.68527969675446,8.281228065490723
53,161.0548241973625,9.849527359008789
54,164.39211262330124,10.785977363586426
55,159.90405557616796,8.004538536071777
56,164.22927035193464,8.554489135742188
57,155.12429095399298,10.994221687316895
58,162.7324510401465,10.063190460205078
59,160.79874627080795,10.003684997558594
60,160.55177244239752,10.24425220489502
61,159.95448249185864,11.604409217834473
62,160.27864535794316,9.684475898742676
63,159.55541610600048,9.546238899230957
64,157.22750064148786,8.956724166870117
65,161.39065807204557,8.812064170837402
66,161.32096061750497,10.067726135253906
67,163.07857272414392,9.75411605834961
68,161.17612258076232,9.929409980773926
69,162.52390754036423,10.250541687011719
70,161.8212011374813,10.034385681152344
71,159.70038019072015,9.763915061950684
72,160.73647266302132,9.79727840423584
73,159.78725979486407,10.246535301208496
74,159.06945235335405,8.17215633392334
75,162.44899068808712,10.91846752166748
76,158.28187571342852,13.492998123168945
77,159.35296062287512,12.952465057373047
78,160.3152696979205,15.330881118774414
79,162.3554032471023,11.48145580291748
80,159.6137266070929,9.922992706298828
81,158.45122846773975,11.214131355285645
82,161.7487865741636,13.03874397277832
83,157.78108796511165,9.983267784118652
84,159.27629051088235,10.972743034362793
85,160.62446634297407,9.979372024536133
86,162.72331023020539,12.706375122070312
87,160.81428959408737,11.799330711364746
88,155.56133943918448,10.868553161621094
89,158.54506826181984,10.041095733642578
90,159.41991125333317,12.195267677307129
91,161.7575793936763,10.06931209564209
92,158.64371431167797,12.590106010437012
93,161.20619280465954,9.777501106262207
94,158.1152869419926,13.532163619995117
95,161.88459952682447,12.227925300598145
96,159.16374208985752,13.79891300201416
97,158.0160140209477,17.637218475341797
98,162.06927274489288,12.390118598937988
99,159.39463806304073,10.105173110961914
100,161.48249209020022,11.552457809448242
101,159.12000502286483,13.682164192199707
102,160.586957753955,14.925812721252441
103,160.24852495439075,15.210821151733398
104,159.58018392710161,11.278611183166504
105,160.83109878198692,12.892845153808594
106,162.52965792687206,14.807794570922852
107,157.9606789026092,17.366302490234375
108,162.0283112322771,13.907648086547852
109,161.68042934176975,13.084943771362305
110,157.9592860355306,14.305156707763672
111,159.96865280829485,13.548707962036133
112,159.4117963763475,12.316359519958496
113,159.46435938526363,12.486312866210938
114,159.96538346918038,14.184100151062012
115,161.33184074132413,13.622142791748047
116,164.9618875609139,14.20435905456543
117,162.56856049966007,16.576377868652344
118,158.88340340604546,13.292551040649414
119,162.96557630429555,16.890274047851562
120,160.15601494808953,13.419543266296387
121,159.61734388455977,14.542410850524902
122,157.8396521477122,14.811439514160156
123,161.69592935518847,13.447877883911133
124,154.2003836130178,13.118895530700684
125,159.47972377964098,16.64873504638672
126,160.56187848118066,16.661842346191406
127,160.89933067035082,17.036216735839844
128,159.5382989734518,16.77212142944336
129,159.92712866035455,17.024354934692383
130,161.51309806343616,16.794069290161133
131,162.90329822543535,20.63353157043457
132,161.92404642577023,18.54657745361328
133,160.03841756226572,17.76601791381836
134,161.8997718733357,17.661344528198242
135,159.64753846215194,16.02764892578125
136,161.65811113702614,16.753931045532227
137,161.09597166792418,15.834952354431152
138,158.6574910552239,17.85236930847168
139,162.2799949061312,16.53316879272461
140,158.5866130465885,18.200300216674805
141,162.22184474554078,28.16603660583496
142,160.58773736692822,16.15211296081543
143,160.00063909464032,19.327280044555664
144,159.9293651997396,17.657630920410156
145,162.72970940183737,15.387370109558105
146,164.62685256501405,21.02374839782715
147,161.3738381451582,17.60927391052246
148,161.0343105735375,18.884597778320312
149,163.72074221544852,17.996633529663086
150,162.7765043120085,17.983356475830078
151,159.37589773138217,20.206680297851562
152,159.31084922837329,18.397708892822266
153,158.06035313942985,16.858381271362305
154,159.08403594966353,18.516448974609375
155,158.37813424248617,23.588268280029297
156,159.1835579260452,23.53803253173828
157,161.50102458845305,18.13437843322754
158,162.29734829147645,30.955015182495117
159,159.39006731363327,22.656190872192383
160,164.35003160724875,20.73273277282715
161,162.3683573414408,19.749116897583008
162,160.1838796318729,22.23176383972168
163,160.0118906724071,20.860942840576172
164,159.4375739873326,24.189289093017578
165,160.43451550271044,24.700307846069336
166,156.29707484984027,24.0679931640625
167,157.1944098513746,20.016874313354492
168,160.5295113660797,26.931211471557617
169,159.62510344261824,22.475112915039062
170,160.3480879407151,22.03323745727539
171,158.9575000735615,25.792226791381836
172,158.88834033365748,25.59562110900879
173,160.2682190836325,23.038009643554688
174,157.73758538097948,24.8468017578125
175,162.05036548034786,19.954240798950195
176,159.9996851607064,22.68708038330078
177,156.46207609390015,20.36591148376465
178,160.91561252500247,26.573570251464844
179,162.91162576721706,22.982637405395508
180,162.2973803686471,27.949283599853516
181,158.0507424453048,22.104738235473633
182,158.11139023378445,20.733705520629883
183,163.07084613265715,24.014036178588867
184,162.54318108401267,27.084556579589844
185,162.4389996411125,26.95901107788086
186,160.37702429885644,25.67350959777832
187,159.81675247178833,36.16591262817383
188,158.33619179021773,21.265592575073242
189,159.3436965869442,24.050973892211914
190,159.46275878979412,39.61417007446289
191,158.1142651871879,29.151718139648438
192,157.34297157737754,22.54116439819336
193,160.29884733778744,34.407569885253906
194,158.02468764604205,25.182798385620117
195,160.43407316987134,28.367895126342773
196,160.40605146231604,27.750612258911133
197,159.48424825628973,28.64344596862793
198,160.65598118266593,27.351078033447266
199,160.5101904826368,31.94910430908203
200,156.9164434745121,26.521198272705078
201,160.4161163641186,33.36692810058594
202,157.14225195574375,29.05023956298828
203,159.5775400141474,27.180816650390625
204,159.57899398618596,28.439008712768555
205,160.2104472512329,27.556133270263672
206,162.6701679392017,35.72187805175781
207,162.3142302903928,31.5048770904541
208,159.39547012670315,30.85309600830078
209,159.92233385695937,25.630088806152344
210,159.29353274670373,27.584632873535156
211,159.80155952777142,29.992483139038086
212,160.20889313239292,32.09247589111328
213,158.04886207275018,29.45682716369629
214,158.36736710884935,27.014345169067383
215,161.31446034316454,30.58660888671875
216,157.62762505877467,35.574581146240234
217,158.26496960592004,37.066959381103516
218,162.1791850842246,34.01222229003906
219,157.1213093781418,40.96880340576172
220,158.79498283902532,36.78501510620117
221,163.0912804738959,36.10299301147461
222,156.38720204111146,30.49088478088379
223,157.1091382371691,27.873353958129883
224,158.9741722633135,30.6748104095459
225,158.52137368308507,28.29738998413086
226,162.24936873461837,33.14780807495117
227,158.75709775561927,34.05710220336914
228,158.72302075032144,33.509857177734375
229,159.22742114491143,34.15657043457031
230,157.4646919576405,37.43486404418945
231,156.50405399786717,36.63230895996094
232,159.32581097873097,35.12434387207031
233,157.657056231547,35.406593322753906
234,159.92435619758953,40.74697494506836
235,159.16418882160733,35.255821228027344
236,159.71340665243423,31.252120971679688
237,156.5331933859406,29.429222106933594
238,160.36752564116819,35.134483337402344
239,155.42213311280543,34.478363037109375
240,160.60588860396123,37.09191131591797
241,158.5983483277124,34.346805572509766
242,157.69400460866666,55.364280700683594
243,161.2108319992668,37.996238708496094
244,157.97420858066477,42.394325256347656
245,159.5536086439034,41.42396545410156
246,157.71953954405143,39.56683349609375
247,156.65824976403013,35.883384704589844
248,158.06056305132046,43.74198532104492
249,157.23125260854783,30.806610107421875
250,161.29169553548863,41.20732879638672
251,159.22926218324898,38.69031524658203
252,159.82233746085322,48.61674880981445
253,162.24494353633855,37.67859649658203
254,155.94171023342275,39.72964096069336
255,158.15010158658703,37.501182556152344
